=== Sheet: 汽车列表 | rows=97 cols=17 ===

评级	指导价	价值系数	收入溢价	订购倍率	容量倍率											
E级	50	200	160	无法订购	30											
D级	51-100	1800	210	40	60											
C级	101-200	6000	360	80	120											
B级	201-300	30000	530	160	240											
A级	301~1000	40000	750	280	360											
S级	1000+（限量/概念）	单独设定	单独设定	单独设定	480											
																
编号	车名	品牌	指导价（区间取值）	游戏内价值	评级	订购价	图鉴	收入/分钟	容量	素材						
1	野马	福特	50	10000	E	无法订购	新手上路	210	6300			各评级车数				
2	蒙迪欧·新能源	福特	30	6000	E	无法订购	新手上路	190	5700			12	E			
3	86	丰田	25	5000	E	无法订购	新手上路	185	5550			16	D			
4	BRZ	斯巴鲁	28	5600	E	无法订购	新手上路	188	5640			16	C			
5	秦·新能源	比亚迪	20	4000	E	无法订购	新手上路	180	5400			17	B			
6	Giulia	阿尔法·罗密欧	45	9000	E	无法订购	新手上路	205	6150			18	A			
7	唐·新能源	比亚迪	29	5800	E	无法订购	新手上路	189	5670			9	S			
8	火神-火焰红	阿斯顿·马丁	全球限量24台	110000000	S	587500	英国绅士	2350	1128000	缺失						
9	火神-层云白	阿斯顿·马丁		100000000	S	574750	英国绅士	2299	1103520			各图鉴车数		图鉴奖励	订购最少额	全订购额
10	火神-苹果绿	阿斯顿·马丁		90000000	S	550000	英国绅士	2200	1056000			12	新手上路	1000	0	0
11	埃文塔多-动感橙	兰博基尼	675	27000000	A	189000	豪迈野牛	1425	513000			11	英国绅士	100000	1712250	2680290
12	埃文塔多-荧光粉	兰博基尼	680	27200000	A	190400	豪迈野牛	1430	514800			11	豪迈野牛	80000	1162300	2286660
13	埃文塔多-哑光白	兰博基尼	690	27600000	A	193200	豪迈野牛	1440	518400			11	宝马系列	10000	0	209200
14	埃文塔多-薄荷绿	兰博基尼	800	32000000	A	224000	豪迈野牛	1550	558000			11	奥迪系列	10000	0	236800
15	Huracan	兰博基尼	350	14000000	A	98000	豪迈野牛	1100	396000			11	奔驰系列	10000	0	202120
16	MX-5	马自达	34	6800	E	无法订购	新手上路	194	5820			5	日系风采	2000	0	41320
17	I8神秘灰	宝马	202	6060000	B	32320	宝马系列	732	175680			9	新浪潮	50000	1442250	1886650
18	I8离子银	宝马	204	6120000	B	32640	宝马系列	734	176160			7	马力十足	5000	0	56400
19	I8质子蓝	宝马	206	6180000	B	32960	宝马系列	736	176640							
20	I8水晶白	宝马	208	6240000	B	33280	宝马系列	738	177120							
21	I8质子红	宝马	210	6300000	B	33600	宝马系列	740	177600		首充					
22	M5滨海湾蓝	宝马	120	720000	C	9600	宝马系列	480	57600							
23	M5宝石青	宝马	140	840000	C	11200	宝马系列	500	60000							
24	M5雪山白	宝马	160	960000	C	12800	宝马系列	520	62400							
